j1,j2,j3,j4,j5,j6,j7
0.04722806893750864,0.7000370092353236,0.342392189090476,1.5707711536555191,0.03822314904064239,0.8708093760999729,-9.429834532781456e-06
1.533270922493557e-05,0.7000372873923837,0.2858725628619476,1.5707709644150132,-5.383307553064043e-05,0.8708097221593469,-8.761506647303463e-06
-0.0026673912437509273,0.7000456069653884,0.16027360614725428,1.5707945855552907,0.0007212199861026392,0.8708598391745586,-8.45669701554641e-06
-0.005652154798077014,0.7000818457348332,0.011775713215812722,1.5708326928914804,0.0015241930589047215,0.870912604284511,-8.476029382364914e-06
-0.008395414439399396,0.7001420301838897,0.01750195324955417,1.570879347353805,0.0022618712556701226,0.870957733645275,-8.45791804060525e-06
-0.015398178726451661,0.7003601045883947,0.032165722965063814,1.571026789963236,0.004150340665353802,0.8710654915396558,-8.476478938312937e-06
-0.020070612610060934,0.7006165830933648,0.04193399326831049,1.5711734942754525,0.005408647068998462,0.871123091740861,-8.452453633012169e-06
-0.02634838448305743,0.7010608016424076,0.05507309784818748,1.5714142445815913,0.007100737400976165,0.8711884069507905,-8.424938040541008e-06
-0.03134084822607175,0.7015197653925052,0.06551319308374381,1.5716516187285494,0.008445164575367592,0.8712277722649784,-8.406707251218393e-06
-0.03683495087476274,0.7021068172293319,0.0769881037293434,1.5719228363929805,0.009910784327048283,0.8711887575627948,-8.391607834390413e-06
-0.04054003021759822,0.7025555350603776,0.08459031201983702,1.5721140609356041,0.010776591508912858,0.871125074218341,-8.452234238731648e-06
-0.04593526256408165,0.7032553868446882,0.09552293336359519,1.572395997935895,0.011896829608265769,0.8709965056475619,-8.443502199639852e-06
-0.05034615803856646,0.7038766211599841,0.10427023113083767,1.5726284375602502,0.012633870883320242,0.8708573728033846,-8.374243541275916e-06
-0.0550868725026854,0.7045819711721073,0.11349212921243801,1.572878923705293,0.013253526905728563,0.8706869039267184,-8.374848713188499e-06
-0.058584102550255146,0.7051286919508772,0.12014362934819545,1.573063315507862,0.013568614544730018,0.8705513387102988,-8.308829038128351e-06
-0.06420032088216576,0.7060323470450811,0.13065094785699394,1.5733577343091607,0.013902122831375152,0.8703310689714163,-8.311437206032224e-06
-0.07450667240333875,0.7077624472945754,0.14943624556308954,1.5738955669363444,0.014022724267234388,0.8699363174997989,-8.445452198913017e-06
-0.07678865162564907,0.7083934566457613,0.15487689741628685,1.574161311866785,0.01379657096790865,0.869788641723586,-8.393155194852397e-06
-0.08356085246995804,0.7102277606575944,0.17033330355302567,1.5749007811058906,0.013222485399333017,0.8693380901377648,-8.341016252799704e-06
-0.0886097746988197,0.7116970515134957,0.18165828918279825,1.5754728160218443,0.012821486701174223,0.8689393557063303,-8.475664674101324e-06
-0.09499810342851145,0.7137486561416813,0.19635192039549842,1.5762799185996732,0.01226949629193097,0.8683471592109058,-8.448872661936946e-06
