x,y,z
0.617,0.0,0.199
0.617,0.0024374313446051676,0.199
0.617,0.004911938006179367,0.199
0.617,0.007085812363615995,0.199
0.617,0.008996544597188627,0.199
0.617,0.010756591484639172,0.199
0.617,0.012216341267510533,0.199
0.617,0.013899739068695294,0.199
0.617,0.01565675091266469,0.199
0.617,0.01703896553200074,0.199
0.617,0.018681460329303068,0.199
0.617,0.020956137304881134,0.199
0.617,0.02322769850060205,0.199
0.617,0.024380796416842543,0.199
0.617,0.026424284171690016,0.199
0.617,0.027834298718220435,0.199
0.617,0.030612436054871683,0.199
0.617,0.032165230959936786,0.199
0.617,0.03426895374074784,0.199
0.617,0.03592666404033115,0.199
0.617,0.03871969648967549,0.199
0.617,0.04007627589209303,0.199
0.617,0.0415769562389377,0.199
0.617,0.04322083629481971,0.199
0.617,0.045152482594288695,0.199
0.617,0.04755084773403881,0.199
0.617,0.04976020158329525,0.199
0.617,0.05199822994508163,0.199
0.617,0.05469487761589831,0.199
0.617,0.05687917154595101,0.199
0.617,0.05880581223684672,0.199
0.617,0.060122005852728366,0.199
0.617,0.06203706339111753,0.199
0.617,0.06426222649646973,0.199
0.617,0.06574008182350949,0.199
0.617,0.06731840550415596,0.199
0.617,0.06871683976844445,0.199
0.617,0.07042399304801555,0.199
0.617,0.07208983457423335,0.199
0.617,0.0737146222412019,0.199
0.617,0.07516113231934618,0.199
0.617,0.07667091909336632,0.199
0.617,0.07820897306879371,0.199
0.617,0.07960488909248836,0.199
0.617,0.08119860739372892,0.199
0.617,0.08261682286626704,0.199
0.617,0.08429770693496141,0.199
0.617,0.08590358078379878,0.199
0.617,0.08766771719335303,0.199
0.617,0.08915800813809849,0.199
0.617,0.09077273393416291,0.199
0.617,0.09277098572772002,0.199
0.617,0.09423648569525367,0.199
0.617,0.09575917309200649,0.199
0.617,0.09714505546258723,0.199
0.617,0.09877970725950891,0.199
0.617,0.10138696886155957,0.199
0.617,0.10334078840457661,0.199
0.617,0.10484286840402052,0.199
0.617,0.10618054886660006,0.199
0.617,0.1076031533488126,0.199
0.617,0.10889437973731025,0.199
0.617,0.11115132763009034,0.199
0.617,0.1129340255724825,0.199
0.617,0.11446284019956987,0.199
0.617,0.11603950592592116,0.199
0.617,0.11777997242157684,0.199
0.617,0.1192135396024902,0.199
0.617,0.1211560184365883,0.199
0.617,0.12359051222651857,0.199
0.617,0.1251759188231863,0.199
0.617,0.12643913162339898,0.199
0.617,0.1277204005352907,0.199
0.617,0.12893640927956673,0.199
0.617,0.1300883629530299,0.199
0.617,0.1318540903395925,0.199
0.617,0.13349212837638896,0.199
0.617,0.13492666925193575,0.199
0.617,0.13603225962285148,0.199
0.617,0.13731079200688345,0.199
0.617,0.13855132735758202,0.199
0.617,0.1398818502361106,0.199
0.617,0.14122352807617178,0.199
0.617,0.14255053331234002,0.199
0.617,0.14356695495808314,0.199
0.617,0.14496525455477144,0.199
0.617,0.1461052346852551,0.199
0.617,0.14751953065793683,0.199
0.617,0.14912629761578905,0.199
0.617,0.15038439493631817,0.199
0.617,0.15171796266404042,0.199
0.617,0.1528302201009386,0.199
0.617,0.15459556596435275,0.199
0.617,0.1558478060793913,0.199
0.617,0.15682363006107514,0.199
0.617,0.15770285593873873,0.199
0.617,0.15848821094532195,0.199
0.617,0.1590983791422243,0.199
0.617,0.1600565102639422,0.199
0.617,0.16087995081975937,0.199
0.617,0.16251964308989225,0.199
0.617,0.16365113831799488,0.199
0.617,0.16476410188390622,0.199
0.617,0.16578229597858318,0.199
0.617,0.1672328744289387,0.199
0.617,0.1683943833351778,0.199
