x,y,z
0.617,0.0,0.199
0.617,0.0023999344647996357,0.199
0.617,0.005061884939879968,0.199
0.617,0.006973391452962302,0.199
0.617,0.009221278941668298,0.199
0.617,0.012253761358392012,0.199
0.617,0.014572790713250766,0.199
0.617,0.01726302257060991,0.199
0.617,0.020508895417004347,0.199
0.617,0.022818318094718876,0.199
0.617,0.02504991050937741,0.199
0.617,0.0284275136485303,0.199
0.617,0.030501438377344398,0.199
0.617,0.03279310569543173,0.199
0.617,0.034674432516270975,0.199
0.617,0.03684636923031509,0.199
0.617,0.03915990321026036,0.199
0.617,0.042015657576380205,0.199
0.617,0.04449700714174881,0.199
0.617,0.04675228784770277,0.199
0.617,0.05033849881083696,0.199
0.617,0.054228317152887395,0.199
0.617,0.05673619296429411,0.199
0.617,0.05877019481977436,0.199
0.617,0.06139949629574942,0.199
0.617,0.063944956102097,0.199
0.617,0.06591571341028041,0.199
0.617,0.06780834623991883,0.199
0.617,0.06986728165524769,0.199
0.617,0.07222836091882928,0.199
0.617,0.07309311423823844,0.199
0.617,0.07471395672066711,0.199
0.617,0.07653390559433998,0.199
0.617,0.07831128974524776,0.199
0.617,0.08079236524807343,0.199
0.617,0.0826505205390769,0.199
0.617,0.08476687992032145,0.199
0.617,0.0866370223994678,0.199
0.617,0.08892664611694379,0.199
0.617,0.09119970691789636,0.199
0.617,0.09280363245467121,0.199
0.617,0.09465847185440623,0.199
0.617,0.09637239571379841,0.199
0.617,0.097691039572949,0.199
0.617,0.0993223794553037,0.199
0.617,0.10129204353136328,0.199
0.617,0.10337217624051287,0.199
0.617,0.10534149085573158,0.199
0.617,0.10710932591937755,0.199
0.617,0.10920072585990309,0.199
0.617,0.11130298415092871,0.199
0.617,0.11257265948670797,0.199
0.617,0.1148209066204906,0.199
0.617,0.11627641251752763,0.199
0.617,0.11804409455061182,0.199
0.617,0.11944655693240674,0.199
0.617,0.12069401484851261,0.199
0.617,0.12307778351276105,0.199
0.617,0.12495033943862177,0.199
0.617,0.12669061404872523,0.199
0.617,0.12863328691730086,0.199
0.617,0.13044317160387026,0.199
0.617,0.13174603212850067,0.199
0.617,0.13317135627381227,0.199
0.617,0.1345561587866203,0.199
