x,y,z
0.617,0.0,0.199
0.617,0.0034498053329638234,0.199
0.617,0.006973391452987865,0.199
0.617,0.012066656034219136,0.199
0.617,0.01640400517215737,0.199
0.617,0.021254231732748347,0.199
0.617,0.025495807016107402,0.199
0.617,0.030612436054905212,0.199
0.617,0.03489553235205145,0.199
0.617,0.04047916505190746,0.199
0.617,0.04362214863118585,0.199
0.617,0.04762339892216222,0.199
0.617,0.051096735675241645,0.199
0.617,0.054264219377440304,0.199
0.617,0.056986381792682006,0.199
0.617,0.060619178181413214,0.199
0.617,0.06422698438527158,0.199
0.617,0.0678083462399347,0.199
0.617,0.07115359566550528,0.199
0.617,0.07426628350832454,0.199
0.617,0.0775603257540819,0.199
0.617,0.08069073319191983,0.199
0.617,0.08419708543323434,0.199
0.617,0.08773410076208038,0.199
0.617,0.09057546712651676,0.199
0.617,0.09345580478248416,0.199
0.617,0.09630790961546049,0.199
0.617,0.0990032952272984,0.199
0.617,0.10274366018991993,0.199
0.617,0.10797282633640715,0.199
0.617,0.11338485442660984,0.199
0.617,0.1173095219109695,0.199
0.617,0.11970835271092345,0.199
0.617,0.12304925410170792,0.199
0.617,0.1262152662969694,0.199
0.617,0.12926641704971997,0.199
0.617,0.13311782432360075,0.199
0.617,0.13618947133757242,0.199
0.617,0.1391415511571381,0.199
0.617,0.14127387078253179,0.199
0.617,0.1435175792183011,0.199
0.617,0.1456215780795022,0.199
0.617,0.14801840517135095,0.199
0.617,0.1500365155980669,0.199
0.617,0.1519688018071223,0.199
0.617,0.15399610306114492,0.199
0.617,0.15597856887399536,0.199
0.617,0.15766018539415594,0.199
0.617,0.15989073663224124,0.199
0.617,0.1615321799613209,0.199
0.617,0.16329582376542268,0.199
0.617,0.16536160137412503,0.199
0.617,0.16758557374559996,0.199
0.617,0.1691560372603762,0.199
0.617,0.17110267620149405,0.199
0.617,0.17394098684586184,0.199
0.617,0.17630642996395895,0.199
0.617,0.1783687801479239,0.199
0.617,0.18024082231045835,0.199
0.617,0.18201625308282704,0.199
0.617,0.18359510494518133,0.199
0.617,0.18489875960554925,0.199
0.617,0.18643441064925226,0.199
0.617,0.18789484974746867,0.199
0.617,0.18915910306420186,0.199
0.617,0.19006241391263679,0.199
0.617,0.19090114881681297,0.199
