x1,y1,z1,x2,y2,z2
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
0.284576,-0.2,0.3999991130593517,0.3,0.2,0.3999996854229158
