x,y,z
0.617,0.0,0.199
0.617,0.0024749281269489387,0.199
0.617,0.004012193749785176,0.199
0.617,0.005886532598297467,0.199
0.617,0.008809256068782023,0.199
0.617,0.012029233515914284,0.199
0.617,0.014460628312860102,0.199
0.617,0.016105134275643973,0.199
0.617,0.019241077721722066,0.199
0.617,0.021589522958512297,0.199
0.617,0.02359976512761669,0.199
0.617,0.027018164900695835,0.199
0.617,0.027723039064686622,0.199
0.617,0.03227605954038082,0.199
0.617,0.03467443251628771,0.199
0.617,0.0367728263003822,0.199
0.617,0.038976510908894146,0.199
0.617,0.04102824451196532,0.199
0.617,0.04336679224689122,0.199
0.617,0.04533445613700726,0.199
0.617,0.04715168127076136,0.199
0.617,0.04983251655021004,0.199
0.617,0.05088018737411204,0.199
0.617,0.05350982236946261,0.199
0.617,0.05537611272867948,0.199
0.617,0.05844953337125447,0.199
0.617,0.06026410291105316,0.199
0.617,0.06246166633597805,0.199
0.617,0.06401547838603916,0.199
0.617,0.06552923812358957,0.199
0.617,0.06703820494977053,0.199
0.617,0.06878664816779606,0.199
0.617,0.0707715765505233,0.199
0.617,0.07260907302032521,0.199
0.617,0.07488600638204024,0.199
0.617,0.07670516492417068,0.199
0.617,0.07892460625844128,0.199
0.617,0.08048738349721929,0.199
0.617,0.08197595226574395,0.199
0.617,0.08365993623410933,0.199
0.617,0.08536914451778532,0.199
0.617,0.08746848415309766,0.199
0.617,0.08905887388690542,0.199
0.617,0.09070699250762759,0.199
0.617,0.09254235732396998,0.199
0.617,0.09452869625710514,0.199
0.617,0.09669460087337789,0.199
0.617,0.09826794318888743,0.199
0.617,0.10037261303918293,0.199
0.617,0.10223970012730893,0.199
0.617,0.1042181305285097,0.199
0.617,0.10565260053562986,0.199
0.617,0.10806515090579855,0.199
0.617,0.10956778545495516,0.199
0.617,0.11124233438250908,0.199
0.617,0.11314453406035158,0.199
0.617,0.11541627421336192,0.199
0.617,0.11680840977993184,0.199
0.617,0.11930095525545681,0.199
0.617,0.12147296089182708,0.199
0.617,0.12316334367946535,0.199
0.617,0.12472445685575317,0.199
0.617,0.1263831939834274,0.199
0.617,0.1278036078132908,0.199
0.617,0.12959572303408012,0.199
0.617,0.1313672050871822,0.199
0.617,0.13343871634352295,0.199
0.617,0.13542792297461892,0.199
0.617,0.13754429235167792,0.199
0.617,0.13901347379786444,0.199
0.617,0.14061778744067388,0.199
0.617,0.1424508961435495,0.199
0.617,0.1443540874651083,0.199
0.617,0.1457426926617304,0.199
0.617,0.1472095126562204,0.199
0.617,0.14825512787843148,0.199
0.617,0.14971072232000843,0.199
0.617,0.15093844787813976,0.199
0.617,0.1524911356324447,0.199
0.617,0.15390695031803253,0.199
0.617,0.1552568919351051,0.199
0.617,0.15652125213305174,0.199
0.617,0.15763884170956904,0.199
0.617,0.15880440618769226,0.199
0.617,0.15991147810567724,0.199
0.617,0.16110480925362147,0.199
0.617,0.16209811495417842,0.199
0.617,0.16331561192005922,0.199
0.617,0.16453133613571097,0.199
0.617,0.16583944861005068,0.199
0.617,0.16715835766404546,0.199
0.617,0.16844912391966854,0.199
0.617,0.169353839523181,0.199
0.617,0.17026181266036772,0.199
0.617,0.17096345520062617,0.199
0.617,0.17204982327729185,0.199
0.617,0.17296276206139538,0.199
0.617,0.17384242431739116,0.199
0.617,0.17504350567484606,0.199
0.617,0.1759941589617,0.199
0.617,0.17661639546598934,0.199
0.617,0.177698166821825,0.199
0.617,0.17853093782032836,0.199
0.617,0.17936008515871543,0.199
0.617,0.17978899624000383,0.199
0.617,0.18019871244842245,0.199
0.617,0.18085252537531743,0.199
0.617,0.18120879239504378,0.199
0.617,0.18152074030634857,0.199
0.617,0.18205608875152918,0.199
0.617,0.18251706368000103,0.199
0.617,0.18297109557650976,0.199
0.617,0.18335475114583705,0.199
0.617,0.18378342038774848,0.199
0.617,0.18427940451123098,0.199
0.617,0.18468182759996277,0.199
0.617,0.18517331417840027,0.199
0.617,0.18593328530690983,0.199
0.617,0.18682538994855252,0.199
0.617,0.1875336121368651,0.199
0.617,0.18821872197827966,0.199
0.617,0.1885984490541796,0.199
0.617,0.188940860766245,0.199
0.617,0.18924763461649213,0.199
0.617,0.1894912780334302,0.199
0.617,0.1898267690478001,0.199
0.617,0.1901184752376608,0.199
0.617,0.19044170462154159,0.199
0.617,0.1907136191778438,0.199
0.617,0.1910160824615817,0.199
0.617,0.19130388034025042,0.199
0.617,0.1916029436807984,0.199
0.617,0.19188740774585045,0.199
0.617,0.19215783187950247,0.199
0.617,0.19248607726936662,0.199
0.617,0.19277498917735708,0.199
0.617,0.19297388650243835,0.199
0.617,0.1932511045702725,0.199
0.617,0.19352873677705457,0.199
0.617,0.193771109765161,0.199
0.617,0.1940490148785909,0.199
0.617,0.19432581285039613,0.199
0.617,0.19458807260521577,0.199
0.617,0.1948427136128409,0.199
0.617,0.19508372318394812,0.199
0.617,0.19542321012075237,0.199
0.617,0.19565814535737192,0.199
0.617,0.19589632424517983,0.199
0.617,0.196194063874486,0.199
0.617,0.19640324418372973,0.199
0.617,0.19659056056621405,0.199
0.617,0.19674346390630987,0.199
0.617,0.19692390594278175,0.199
0.617,0.19706275590984035,0.199
0.617,0.19728248525220043,0.199
0.617,0.1974955559549681,0.199
0.617,0.1976405371608218,0.199
0.617,0.19777269064757824,0.199
0.617,0.19788932885842103,0.199
0.617,0.19802958324685882,0.199
0.617,0.1981604936603505,0.199
0.617,0.19828573927593424,0.199
0.617,0.19839941624272267,0.199
0.617,0.19849953440310453,0.199
0.617,0.1986120919592878,0.199
0.617,0.1987138838836625,0.199
0.617,0.19883791480589041,0.199
0.617,0.1989262967392918,0.199
0.617,0.19901686023841808,0.199
0.617,0.1991002863557924,0.199
0.617,0.19917115397551582,0.199
0.617,0.19924576763765106,0.199
0.617,0.19931416305616417,0.199
0.617,0.1993701982502678,0.199
0.617,0.19945384879889866,0.199
0.617,0.1995091591453974,0.199
0.617,0.19956850623328465,0.199
0.617,0.19963005041129095,0.199
0.617,0.19967601981829403,0.199
0.617,0.19973065748602398,0.199
0.617,0.19977214811644756,0.199
0.617,0.19980998606612527,0.199
0.617,0.1998434617136159,0.199
0.617,0.19987968912670379,0.199
0.617,0.19990278125659738,0.199
0.617,0.19992233302040002,0.199
0.617,0.19994017610261355,0.199
0.617,0.19995508500689108,0.199
0.617,0.1999675489274672,0.199
0.617,0.19997653925505932,0.199
0.617,0.19998430232246067,0.199
0.617,0.19999003395064607,0.199
0.617,0.1999931271323533,0.199
0.617,0.1999962335711608,0.199
0.617,0.199998364453586,0.199
0.617,0.19999932186462605,0.199
0.617,0.19999987556649118,0.199
0.617,0.1999999979544569,0.199
0.617,0.1999999890470367,0.199
0.617,0.19999979851083233,0.199
0.617,0.19999930342348005,0.199
0.617,0.1999981948948618,0.199
0.617,0.1999958198489502,0.199
0.617,0.19998878941448944,0.199
0.617,0.19997634716251184,0.199
0.617,0.19996125136815607,0.199
0.617,0.19994862681654363,0.199
0.617,0.19991760403136088,0.199
0.617,0.19989111289019207,0.199
0.617,0.19984808930419906,0.199
0.617,0.19981524231921177,0.199
0.617,0.19978471288156285,0.199
0.617,0.19975106548866695,0.199
0.617,0.19971118524919573,0.199
0.617,0.199672789905605,0.199
0.617,0.19962652997967983,0.199
0.617,0.19957493891045364,0.199
0.617,0.1995119648886015,0.199
0.617,0.19945234135293194,0.199
0.617,0.1993881958674994,0.199
0.617,0.19931590657160364,0.199
0.617,0.1992476214626996,0.199
0.617,0.19917115397551605,0.199
0.617,0.1990940371662035,0.199
0.617,0.1990080336269643,0.199
0.617,0.1989192970822451,0.199
0.617,0.19882562607649362,0.199
0.617,0.19873209700346117,0.199
0.617,0.19861757333425178,0.199
0.617,0.19851677599425105,0.199
0.617,0.19838434405563926,0.199
0.617,0.19824142483334745,0.199
0.617,0.19812082147293159,0.199
0.617,0.19798467059329516,0.199
0.617,0.197846054822499,0.199
0.617,0.19770154806612122,0.199
0.617,0.19755499056321785,0.199
0.617,0.19739039179638812,0.199
0.617,0.1971890181488592,0.199
0.617,0.197022859483435,0.199
0.617,0.19685526864122588,0.199
0.617,0.19668187701607126,0.199
0.617,0.19648287866633662,0.199
0.617,0.19630212800788982,0.199
0.617,0.19610515539682677,0.199
0.617,0.1959071992304524,0.199
0.617,0.195669409241217,0.199
0.617,0.19544646976827734,0.199
0.617,0.19522252270507812,0.199
0.617,0.1949857107598565,0.199
0.617,0.19475445134163832,0.199
0.617,0.1944971520245296,0.199
0.617,0.19425234619793424,0.199
0.617,0.19399405700803835,0.199
0.617,0.1937216732545023,0.199
0.617,0.19345636802511157,0.199
0.617,0.1931694010296819,0.199
0.617,0.19289778879791136,0.199
0.617,0.19258837445157478,0.199
0.617,0.19228694458691636,0.199
0.617,0.19200281379261708,0.199
0.617,0.1916872274228884,0.199
0.617,0.19134699217121748,0.199
0.617,0.1910072727466176,0.199
0.617,0.1906596146707985,0.199
0.617,0.19030397013249917,0.199
0.617,0.18994971858210496,0.199
0.617,0.18956853784729244,0.199
0.617,0.1892181723885868,0.199
